source,field,type,filled,total,fill_rate,distinct,example
서울시 상권분석서비스,STDR_YYQU_CD,str,75912,75912,1.0,1,20262
서울시 상권분석서비스,TRDAR_SE_CD,str,75912,75912,1.0,4,U
서울시 상권분석서비스,TRDAR_SE_CD_NM,str,75912,75912,1.0,4,관광특구
서울시 상권분석서비스,TRDAR_CD,str,75912,75912,1.0,1650,3001491
서울시 상권분석서비스,TRDAR_CD_NM,str,75912,75912,1.0,1650,이태원 관광특구
서울시 상권분석서비스,SVC_INDUTY_CD,str,75912,75912,1.0,100,CS100001
서울시 상권분석서비스,SVC_INDUTY_CD_NM,str,75912,75912,1.0,100,한식음식점
서울시 상권분석서비스,SIMILR_INDUTY_STOR_CO,float,75912,75912,1.0,301,156.0
서울시 상권분석서비스,STOR_CO,float,75912,75912,1.0,302,142.0
서울시 상권분석서비스,FRC_STOR_CO,float,75912,75912,1.0,63,14.0
서울시 상권분석서비스,OPBIZ_RT,float,75912,75912,1.0,43,4.0
서울시 상권분석서비스,OPBIZ_STOR_CO,float,75912,75912,1.0,23,6.0
서울시 상권분석서비스,CLSBIZ_RT,float,75912,75912,1.0,48,4.0
서울시 상권분석서비스,CLSBIZ_STOR_CO,float,75912,75912,1.0,30,6.0
